,name,company,year,Price,kms_driven,fuel_type
0,Santro Xing XO eRLX Euro III,Hyundai,2007.0,80000.0,45000,Petrol
3,Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014.0,325000.0,28000,Petrol
4,EcoSport Titanium 1.5L TDCi,Ford,2014.0,575000.0,36000,Diesel
6,Figo,Ford,2012.0,175000.0,41000,Diesel
7,Eon,Hyundai,2013.0,190000.0,25000,Petrol
8,EcoSport Ambiente 1.5L TDCi,Ford,2016.0,830000.0,24530,Diesel
9,Suzuki Alto K10 VXi AMT,Maruti,2015.0,250000.0,60000,Petrol
10,Fabia Classic 1.2 MPI,Skoda,2010.0,182000.0,60000,Petrol
11,Suzuki Stingray VXi,Maruti,2015.0,315000.0,30000,Petrol
12,Elite i20 Magna 1.2,Hyundai,2014.0,415000.0,32000,Petrol
13,Scorpio SLE BS IV,Mahindra,2015.0,320000.0,48660,Diesel
16,A8,Audi,2017.0,1000000.0,4000,Petrol
17,Q7,Audi,2014.0,500000.0,16934,Diesel
18,Scorpio S10,Mahindra,2016.0,350000.0,43000,Diesel
19,Suzuki Alto 800,Maruti,2014.0,160000.0,35550,Petrol
21,Scorpio S10,Mahindra,2016.0,310000.0,39522,Diesel
22,Suzuki Alto 800 Vxi,Maruti,2015.0,75000.0,39000,Petrol
23,i20 Sportz 1.2,Hyundai,2012.0,100000.0,55000,Petrol
26,Suzuki Alto 800 Lx,Maruti,2017.0,190000.0,72000,Petrol
27,Suzuki Vitara Brezza ZDi,Maruti,2016.0,290000.0,15975,Diesel
28,Suzuki Alto LX,Maruti,2008.0,95000.0,70000,Petrol
29,Bolero DI,Mahindra,2017.0,180000.0,23452,Diesel
30,Suzuki Swift Dzire ZDi,Maruti,2014.0,385000.0,35522,Diesel
31,Scorpio S10 4WD,Mahindra,2015.0,250000.0,48508,Diesel
32,Suzuki Swift Vdi BSIII,Maruti,2017.0,180000.0,15487,Petrol
33,Suzuki Wagon R VXi BS III,Maruti,2013.0,105000.0,39000,Petrol
34,Suzuki Wagon R VXi Minor,Maruti,2013.0,105000.0,39000,Petrol
35,Innova 2.0 G 8 STR BS IV,Toyota,2012.0,650000.0,82000,Diesel
36,Lodgy 85 PS RXL,Renault,2018.0,689999.0,20000,Diesel
37,Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012.0,448000.0,68000,Diesel
38,Suzuki Baleno Delta 1.2,Maruti,2017.0,549000.0,32000,Diesel
39,Duster 110 PS RxZ Diesel Plus,Renault,2012.0,501000.0,38000,Diesel
40,Duster 85 PS RxE Diesel,Renault,2013.0,489999.0,27000,Diesel
41,City 1.5 S MT,Honda,2011.0,280000.0,33000,Petrol
43,Suzuki Dzire,Maruti,2013.0,349999.0,46000,Diesel
44,Amaze,Honda,2013.0,284999.0,46000,Diesel
45,Amaze 1.5 SX i DTEC,Honda,2015.0,345000.0,36000,Diesel
46,City,Honda,2015.0,499999.0,55000,Petrol
47,Redi GO S,Datsun,2017.0,235000.0,16000,Petrol
48,Suzuki SX4 ZXI MT,Maruti,2010.0,249999.0,36000,Petrol
49,Pajero Sport Limited Edition,Mitsubishi,2015.0,1475000.0,47000,Diesel
56,Scorpio S10,Mahindra,2015.0,395000.0,35000,Diesel
57,Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017.0,220000.0,30874,Petrol
58,City ZX CVT,Honda,2017.0,170000.0,15000,Diesel
59,Suzuki Wagon R LX BS IV,Maruti,2013.0,85000.0,29685,Petrol
62,Indigo eCS LS CR4 BS IV,Tata,2017.0,200000.0,130000,Diesel
65,Scorpio SLE BS IV,Mahindra,2012.0,570000.0,19000,Diesel
66,Polo Highline Exquisite P,Volkswagen,2014.0,315000.0,60000,Petrol
70,Spark LS 1.0,Chevrolet,2010.0,110000.0,41000,Petrol
71,Duster 110PS Diesel RxZ,Renault,2012.0,501000.0,35000,Diesel
72,City,Honda,2015.0,448999.0,54000,Petrol
73,Cooper S 1.6,Mini,2013.0,1891111.0,13000,Petrol
75,Fabia 1.2L Diesel Ambiente,Skoda,2011.0,159500.0,38200,Diesel
76,Amaze,Honda,2015.0,344999.0,22000,Petrol
78,Duster,Renault,2014.0,449999.0,50000,Diesel
79,Cooper S 1.6,Mini,2013.0,1891111.0,13500,Petrol
80,Scorpio S4,Mahindra,2015.0,865000.0,30000,Diesel
81,Scorpio VLX 2WD BS IV,Mahindra,2014.0,699000.0,50000,Diesel
82,Quanto C8,Mahindra,2013.0,375000.0,20000,Diesel
83,EcoSport,Ford,2017.0,489999.0,39000,Petrol
84,Brio,Honda,2012.0,224999.0,30000,Petrol
86,Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019.0,1200000.0,3600,Diesel
87,i20 Magna,Hyundai,2009.0,195000.0,32000,Petrol
88,Corolla Altis Diesel D4DG,Toyota,2010.0,351000.0,38000,Diesel
89,Verna Transform SX VTVT,Hyundai,2008.0,160000.0,45000,Petrol
90,Corolla Altis Petrol Ltd,Toyota,2009.0,240000.0,35000,Petrol
